Time,System Production (W)
04/01/2023 00:00,"0"
04/01/2023 00:15,"0"
04/01/2023 00:30,"0"
04/01/2023 00:45,"0"
04/01/2023 01:00,"0"
04/01/2023 01:15,"0"
04/01/2023 01:30,"0"
04/01/2023 01:45,"0"
04/01/2023 02:00,"0"
04/01/2023 02:15,"0"
04/01/2023 02:30,"0"
04/01/2023 02:45,"0"
04/01/2023 03:00,"0"
04/01/2023 03:15,"0"
04/01/2023 03:30,"0"
04/01/2023 03:45,"0"
04/01/2023 04:00,"0"
04/01/2023 04:15,"0"
04/01/2023 04:30,"0"
04/01/2023 04:45,"0"
04/01/2023 05:00,"0"
04/01/2023 05:15,"0"
04/01/2023 05:30,"0"
04/01/2023 05:45,"0"
04/01/2023 06:00,"166.6667"
04/01/2023 06:15,"1689.3334"
04/01/2023 06:30,"4911.6665"
04/01/2023 06:45,"9224.333"
04/01/2023 07:00,"13364"
04/01/2023 07:15,"16231.334"
04/01/2023 07:30,"20465.668"
04/01/2023 07:45,"25292.334"
04/01/2023 08:00,"27819.3359"
04/01/2023 08:15,"28531.332"
04/01/2023 08:30,"17487.666"
04/01/2023 08:45,"25328"
04/01/2023 09:00,"26665"
04/01/2023 09:15,"28777.668"
04/01/2023 09:30,"43096"
04/01/2023 09:45,"23036"
04/01/2023 10:00,"50902.668"
04/01/2023 10:15,"50146.668"
04/01/2023 10:30,"59213"
04/01/2023 10:45,"66573.6641"
04/01/2023 11:00,"54687"
04/01/2023 11:15,"67224"
04/01/2023 11:30,"68720"
04/01/2023 11:45,"59375.332"
04/01/2023 12:00,"51885.0039"
04/01/2023 12:15,"55371.6641"
04/01/2023 12:30,"61847"
04/01/2023 12:45,"46600"
04/01/2023 13:00,"70746.6641"
04/01/2023 13:15,"70203.6641"
04/01/2023 13:30,"70884.6719"
04/01/2023 13:45,"60322"
04/01/2023 14:00,"64089"
04/01/2023 14:15,"61114.3359"
04/01/2023 14:30,"57536"
04/01/2023 14:45,"53547.332"
04/01/2023 15:00,"50377.332"
04/01/2023 15:15,"47635"
04/01/2023 15:30,"43847.332"
04/01/2023 15:45,"40980.3359"
04/01/2023 16:00,"36380"
04/01/2023 16:15,"31814.332"
04/01/2023 16:30,"27229.668"
04/01/2023 16:45,"22350.998"
04/01/2023 17:00,"18082.332"
04/01/2023 17:15,"13868"
04/01/2023 17:30,"9921.333"
04/01/2023 17:45,"5947.3335"
04/01/2023 18:00,"955.6667"
04/01/2023 18:15,"27"
04/01/2023 18:30,"0"
04/01/2023 18:45,"0"
04/01/2023 19:00,"0"
04/01/2023 19:15,"0"
04/01/2023 19:30,"0"
04/01/2023 19:45,"0"
04/01/2023 20:00,"0"
04/01/2023 20:15,"0"
04/01/2023 20:30,"0"
04/01/2023 20:45,"0"
04/01/2023 21:00,"0"
04/01/2023 21:15,"0"
04/01/2023 21:30,"0"
04/01/2023 21:45,"0"
04/01/2023 22:00,"0"
04/01/2023 22:15,"0"
04/01/2023 22:30,"0"
04/01/2023 22:45,"0"
04/01/2023 23:00,"0"
04/01/2023 23:15,"0"
04/01/2023 23:30,"0"
04/01/2023 23:45,"0"
04/02/2023 00:00,"0"
04/02/2023 00:15,"0"
04/02/2023 00:30,"0"
04/02/2023 00:45,"0"
04/02/2023 01:00,"0"
04/02/2023 01:15,"0"
04/02/2023 01:30,"0"
04/02/2023 01:45,"0"
04/02/2023 02:00,"0"
04/02/2023 02:15,"0"
04/02/2023 02:30,"0"
04/02/2023 02:45,"0"
04/02/2023 03:00,"0"
04/02/2023 03:15,"0"
04/02/2023 03:30,"0"
04/02/2023 03:45,"0"
04/02/2023 04:00,"0"
04/02/2023 04:15,"0"
04/02/2023 04:30,"0"
04/02/2023 04:45,"0"
04/02/2023 05:00,"0"
04/02/2023 05:15,"0"
04/02/2023 05:30,"0"
04/02/2023 05:45,"0"
04/02/2023 06:00,"0"
04/02/2023 06:15,"686.6666"
04/02/2023 06:30,"3113.6665"
04/02/2023 06:45,"6045.667"
04/02/2023 07:00,"9559.333"
04/02/2023 07:15,"13774.334"
04/02/2023 07:30,"18003"
04/02/2023 07:45,"22594"
04/02/2023 08:00,"28088.332"
04/02/2023 08:15,"30287"
04/02/2023 08:30,"32190.668"
04/02/2023 08:45,"41005.332"
04/02/2023 09:00,"44913.332"
04/02/2023 09:15,"49374.332"
04/02/2023 09:30,"52796.6641"
04/02/2023 09:45,"56423.668"
04/02/2023 10:00,"59266.3359"
04/02/2023 10:15,"62092.6719"
04/02/2023 10:30,"64640.6641"
04/02/2023 10:45,"67055.3359"
04/02/2023 11:00,"68462.3359"
04/02/2023 11:15,"69910.3281"
04/02/2023 11:30,"70732.6641"
04/02/2023 11:45,"70836"
04/02/2023 12:00,"72075.3281"
04/02/2023 12:15,"72474.6641"
04/02/2023 12:30,"72462.6641"
04/02/2023 12:45,"71330.3359"
04/02/2023 13:00,"70593.6719"
04/02/2023 13:15,"69965"
04/02/2023 13:30,"68476.6641"
04/02/2023 13:45,"66724"
04/02/2023 14:00,"64337"
04/02/2023 14:15,"61235.3359"
04/02/2023 14:30,"59435.6641"
04/02/2023 14:45,"56379.668"
04/02/2023 15:00,"51801"
04/02/2023 15:15,"48076.0039"
04/02/2023 15:30,"44002.668"
04/02/2023 15:45,"39542"
04/02/2023 16:00,"34789.668"
04/02/2023 16:15,"29732.334"
04/02/2023 16:30,"25411.334"
04/02/2023 16:45,"20455"
04/02/2023 17:00,"16166.666"
04/02/2023 17:15,"11545.999"
04/02/2023 17:30,"3337.6667"
04/02/2023 17:45,"1036.6666"
04/02/2023 18:00,"96"
04/02/2023 18:15,"0"
04/02/2023 18:30,"0"
04/02/2023 18:45,"0"
04/02/2023 19:00,"0"
04/02/2023 19:15,"0"
04/02/2023 19:30,"0"
04/02/2023 19:45,"0"
04/02/2023 20:00,"0"
04/02/2023 20:15,"0"
04/02/2023 20:30,"0"
04/02/2023 20:45,"0"
04/02/2023 21:00,"0"
04/02/2023 21:15,"0"
04/02/2023 21:30,"0"
04/02/2023 21:45,"0"
04/02/2023 22:00,"0"
04/02/2023 22:15,"0"
04/02/2023 22:30,"0"
04/02/2023 22:45,"0"
04/02/2023 23:00,"0"
04/02/2023 23:15,"0"
04/02/2023 23:30,"0"
04/02/2023 23:45,"0"
04/03/2023 00:00,"0"
04/03/2023 00:15,"0"
04/03/2023 00:30,"0"
04/03/2023 00:45,"0"
04/03/2023 01:00,"0"
04/03/2023 01:15,"0"
04/03/2023 01:30,"0"
04/03/2023 01:45,"0"
04/03/2023 02:00,"0"
04/03/2023 02:15,"0"
04/03/2023 02:30,"0"
04/03/2023 02:45,"0"
04/03/2023 03:00,"0"
04/03/2023 03:15,"0"
04/03/2023 03:30,"0"
04/03/2023 03:45,"0"
04/03/2023 04:00,"0"
04/03/2023 04:15,"0"
04/03/2023 04:30,"0"
04/03/2023 04:45,"0"
04/03/2023 05:00,"0"
04/03/2023 05:15,"0"
04/03/2023 05:30,"0"
04/03/2023 05:45,"0"
04/03/2023 06:00,"0"
04/03/2023 06:15,"540.6666"
04/03/2023 06:30,"2096.6667"
04/03/2023 06:45,"4812"
04/03/2023 07:00,"8525"
04/03/2023 07:15,"12866.334"
04/03/2023 07:30,"16571"
04/03/2023 07:45,"21165"
04/03/2023 08:00,"25995.666"
04/03/2023 08:15,"30352"
04/03/2023 08:30,"32151.332"
04/03/2023 08:45,"20898"
04/03/2023 09:00,"34144.6641"
04/03/2023 09:15,"44908.332"
04/03/2023 09:30,"49434.3359"
04/03/2023 09:45,"53399.6641"
04/03/2023 10:00,"56809.3359"
04/03/2023 10:15,"59468.3359"
04/03/2023 10:30,"61974"
04/03/2023 10:45,"64000.332"
04/03/2023 11:00,"65677.3359"
04/03/2023 11:15,"66594.3281"
04/03/2023 11:30,"68170"
04/03/2023 11:45,"69176"
04/03/2023 12:00,"70811.6641"
04/03/2023 12:15,"64141.6641"
04/03/2023 12:30,"70351"
04/03/2023 12:45,"62081.6719"
04/03/2023 13:00,"55459"
04/03/2023 13:15,"76052.6719"
04/03/2023 13:30,"46507.6641"
04/03/2023 13:45,"54571"
